,Clay_Up,Silt_Up,Sand_Up,Clay_Down,Silt_Down,Sand_Down,OC_Up,OC_Down,BD_Up,BD_Down,AWC_Up,AWC_Down,K_Up,K_Down,PCP_WW,PCP_SM,IRR_SM,PCP_RY,TMP_AV,TMP_MX,TMP_MN
1296,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,125.3,332.7,26,480.1,10.721843373494,16.0045020080321,5.43918072289157
1297,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,91.9,368.8,26,415.5,8.51164658634538,13.0755020080321,3.94779116465863
1298,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,61.9,279.0,26,412.6,10.1230963855422,15.3477429718876,4.89844979919679
1299,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,138.2,352.2,26,454.2,9.9054,14.3848,5.426
1300,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,57.1,439.6,26,618.9,8.00321686746988,14.4397911646586,1.56664658634538
1301,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,160.9,384.0,26,521.5,8.50362248995984,14.4966024096385,2.51063453815261
1302,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,151.6,446.1,26,591.1,8.50741767068273,14.3378112449799,2.6770281124498
1303,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,142.8,452.3,26,594.6,8.15096,14.565704,1.736216
1304,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,126.9,220.6,55,340.5,8.61792369477912,14.6156827309237,2.62016064257028
1305,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,150.6,279.5,26,429.7,8.95765863453815,14.582843373494,3.33247389558233
1306,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,48.0,146.3,148,231.0,9.98875502008032,16.2277108433735,3.74979919678715
