GSub,HRU,YEAR1,上层-黏粒,上层-粉粒,上层-砂粒,下层-黏粒,下层-粉粒,下层-砂粒,上层-有机质,下层-有机质,上层-容重,下层-容重,上层-可利用水含量,下层-可利用水含量,上层-饱和水力传导度,下层-饱和水力传导度,降水量-冬小麦生育期,降水量-夏玉米生育期,灌溉量-夏玉米生育期,降水量-自然年,平均温,最高温,最低温,太阳辐射,SOLAR.1,SJQ_DX,SJQ_ZY, Soil Name_s3090, Soil Name_s4286, Soil Name_s4336, Soil Name_s4337, Soil Name_s4392, Soil Hydrologic Group_A, Soil Hydrologic Group_B, Soil Hydrologic Group_D, Texture1 _ Loam, Texture1 _Clay Loam, Texture1 _Loam, Texture1 _Sandy Loam,Texture2_ Loam,Texture2_Sandy Clay Loam,品种_JJ,品种_LC,品种_QZ,SOLAR_AV,dist_temp_cluster_0,dist_temp_cluster_1,dist_temp_cluster_2,dist_temp_cluster_3,dist_temp_cluster_4,dist_solar_cluster_0,dist_solar_cluster_1,dist_solar_cluster_2,dist_solar_cluster_3,dist_solar_cluster_4,dist_solar_cluster_5,平均温 降水量-自然年,平均温 太阳辐射,降水量-自然年 太阳辐射,climate_pc1,climate_pc2,上下黏粒比,上下有机质比,上下粉粒比,上下沙粒比,温差,上下容重差,能量,水热比,灌辐比,上层储水能力,下层储水能力
4,15,1993,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,109.2,368,345.9,31,419.7,7.42263779527559,13.1968503937008,1.64842519685039,13.6120078740158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.630216535433095,0.8378778486517747,3.0980694297891844,4.4364911183755,1.903937396630144,0.5847575585336935,0.2914800514536551,2.4015902407611684,1.992126716625675,1.325313193009764,1.355489893458368,2.5946317196046285,13010.699999999999,691.8440551181087,51.10118110236209,-77.37561287253908,-19.65321721352612,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.774212598425209,0.050000000000000044,3202.40187992127,0.07386228258279724,45.33292055261005,0.078125,0.0813008130081301
4,15,1994,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,82.7,405,798.4,31,888.7,7.83681102362205,13.6169291338583,2.05669291338583,13.5656299212598,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.811161417322815,0.2349448448452384,2.496700706849376,3.831611557662328,1.3025653468999177,1.1066431130224017,3.185222351666319,3.677353076028941,0.9617183682114362,2.614324937367793,3.748920037550049,1.6263109466723045,27549.7,1827.7829921259872,63.75748031496073,389.1890388342548,28.06734418021985,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.780118110236249,0.050000000000000044,6941.779151574786,0.03488241251265894,102.21271298137407,0.078125,0.0813008130081301
4,15,1995,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,164.7,368,751.3,31,887.7,7.9065905511811,13.6700157480315,2.14316535433071,14.1642519685039,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.153708661417305,0.1458142799315268,2.4073678602367505,3.742518213313499,1.213236627799817,1.1852322260713917,2.9983128810640847,3.1466220685252044,1.0223756026275013,2.175656096775269,3.3654085947290358,1.0370867134587671,27518.7,1902.4878850393713,66.43812598425201,388.19413792357864,27.964968973390015,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.763425196850399,0.050000000000000044,7238.047178740142,0.034921707784161315,92.14211976386785,0.078125,0.0813008130081301
4,15,1996,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,37.0,438,628.1,31,682.3,7.95531764705882,13.8387333333333,2.07190196078431,14.3782745098039,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.225088235294105,0.1208339644796892,2.2598110159212874,3.586352865089156,1.0701451333131609,1.368366695209252,2.302656486408825,2.43678282993506,0.9466317631962304,1.383330386903192,2.569265866632095,0.7811407626243333,21151.3,1413.6587078431346,64.2289607843136,183.86045811159875,7.063650327326997,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.88341568627448,0.050000000000000044,5611.977702941168,0.04543455957789829,76.36392243244318,0.078125,0.0813008130081301
4,15,1997,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,128.3,368,337.8,31,522.4,7.85551181102362,13.3185039370079,2.39251968503937,13.2563779527559,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.824448818897634,0.4847493851112762,2.6934096857878687,4.040888198317219,1.5063379535540935,0.830866434794345,0.467328938293721,2.1127572404271384,2.070881038108078,1.0858461346472676,1.0933795273916966,2.467410519424164,16194.4,1249.8522834645669,74.16811023622047,24.790575904378898,-9.206675747987177,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.462992125984281,0.050000000000000044,4087.492062992124,0.05934150076569679,43.17237006958808,0.078125,0.0813008130081301
4,15,1998,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,210.4,368,304.8,41,468.1,8.31870078740158,13.5562992125984,3.08110236220472,12.7525984251968,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.916850393700759,0.3529811211854759,2.1930121011412624,3.544751630649828,1.0270400597488292,1.3107527617320225,0.5549273680419249,1.9826097928784567,2.3039287693592305,1.0973430666791864,0.8566284090786493,2.580364972273112,19192.100000000002,1442.2640157480296,126.32519685039352,-30.2457964426398,-4.788290910960185,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.23759842519682,0.050000000000000044,3705.8776692913257,0.08758812219611194,38.5001591343095,0.078125,0.0813008130081301
4,15,1999,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,109.0,368,343.9,31,461.5,8.63503937007874,14.2165354330709,3.05354330708661,13.5038976377953,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.278720472440956,0.7822224374193342,1.479932207783685,2.8190524552117258,0.2857594654353808,2.0520810422786133,1.1180698069017556,1.4426315328782753,2.2435856569969554,0.5595229881559362,0.7553627168713001,2.1379340156090936,14306.5,1409.2102362204705,94.6598425196849,-35.79419455932816,-15.410450176053146,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.58149606299216,0.050000000000000044,3820.629498031501,0.06717226435536294,41.540235733868435,0.078125,0.0813008130081301
4,15,2000,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,62.7,405,328.7,31,419.4,7.93960784313725,13.5733333333333,2.30588235294118,13.8002745098039,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.05307843137254,0.2038034792671471,2.4483362032262845,3.789747490387736,1.2549118286307823,1.1071532220104952,0.7712410461886697,1.7740847769220158,2.2072617601593127,0.8453910036741503,0.8136347026339725,2.353027908382221,13001.4,967.0870588235308,71.48235294117657,-77.67474572845651,-19.68833036041019,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.63372549019605,0.050000000000000044,3377.4610941176434,0.07391511683357177,40.81668926996622,0.078125,0.0813008130081301
4,15,2001,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,78.7,405,273.3,41,376.5,8.03740157480315,13.2972440944882,2.77755905511811,12.6663779527559,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.7219685039370045,0.4758947682103278,2.5840376647644847,3.935336895997136,1.410593918122718,0.9197218340869004,0.3361664867024742,2.2937268060222182,2.4636812653474656,1.447261287042795,1.033837750678061,2.898216486310986,15436.5,1045.7509842519685,113.87992125984252,-121.36989291146404,-14.106791408798173,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.25984251968505,0.050000000000000044,2907.3211417322823,0.10889774236387782,35.39252974946213,0.078125,0.0813008130081301
4,15,2002,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,171.4,368,313.4,41,511.3,9.60413385826772,15.2263779527559,3.98188976377953,12.6104330708661,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.296161417322814,2.215992566030548,0.2196884501312228,1.384239447089968,1.1592195840826625,3.486422420134302,1.1173228113432343,1.4188000862263364,2.430653102386356,0.7260575642957454,0.5594537873162513,2.316898367919027,20963.3,2035.9402362204737,163.25748031496073,12.728447025037497,-0.4034209074030741,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.622244094488181,0.050000000000000044,4241.827332677155,0.08018775669861138,37.77650701752314,0.078125,0.0813008130081301
4,15,2003,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,149.5,368,320.8,31,521.8,7.56870078740158,12.3984251968504,2.73897637795275,12.3225984251968,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.530787401574775,1.4978022424264037,3.613247792471891,4.965065353364281,2.461267151260135,0.2950739891108879,0.100929228316416,2.547563223741472,2.1546301488223616,1.523223778979307,1.4058673676691922,2.8122404295569345,16175.8,1429.197874015745,84.90826771653525,24.19384655188628,-9.265531934005594,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-4.82972440944882,0.050000000000000044,3929.5648661417176,0.05940973553085474,42.59846718457581,0.078125,0.0813008130081301
4,15,2004,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,193.7,368,616.8,31,740.0,8.95559215686274,14.5289607843137,3.38222352941176,13.5035294117647,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.44287647058823,1.2397119144513142,1.0248923561609524,2.3597795309268377,0.1813738113575891,2.507694506742604,2.400656338678792,2.1890293720406317,1.276796844647866,1.2642453719204936,2.4857267275199977,0.5139005238267289,22940.0,2502.8454117647025,104.84892941176456,241.25955825503615,12.926155179613133,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.573368627450959,0.050000000000000044,6247.72858823529,0.041891891891891894,73.0556703214475,0.078125,0.0813008130081301
4,15,2005,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,129.1,368,264.8,41,380.5,8.06791338582677,13.4251968503937,2.71062992125984,13.394842519685,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.05273622047242,0.3428153074507669,2.464446694739625,3.814243955534741,1.2840339458455476,1.0435410214029872,0.7991784799520866,1.8242925842149724,2.600054358148603,1.1662005157892774,0.5543564059154067,2.7289072930085574,15600.5,1031.394685039369,111.13582677165344,-117.39066603551419,-13.699981392512456,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.35728346456693,0.050000000000000044,3064.066131889756,0.10775295663600526,32.88323282300004,0.078125,0.0813008130081301
4,15,2006,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,91.8,368,233.1,41,336.1,8.63318503937008,14.1205984251968,3.14577952755906,12.8053937007874,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.97558661417323,0.720576587680173,1.5476945248959522,2.8925985866068835,0.3581097059527731,1.9696354035972612,0.7910353042436745,1.989812440976172,2.7714695758100434,1.39904338185944,0.6195393773534063,2.960006143424513,13780.1,1057.2964992126,128.97696062992145,-161.560825733789,-18.222882295858568,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.48741338582672,0.050000000000000044,2680.594661023623,0.1219875037191312,29.22669030836721,0.078125,0.0813008130081301
4,15,2007,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,133.7,368,420.9,31,604.7,9.91791338582677,15.1334645669291,4.70236220472441,12.903031496063,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.802696850393705,2.385695378187489,0.1374771216791423,1.246693349739855,1.3181092768264604,3.616670726134324,2.0073199866482714,0.8805328743618865,2.33731905738315,0.4964175120416566,1.3699742771867187,1.5389513277220728,18745.7,2843.518425196851,145.7732283464567,106.6606580806066,-0.8501921471265348,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.215551181102329,0.050000000000000044,5322.990785433074,0.05126509012733586,47.81489208970942,0.078125,0.0813008130081301
4,15,2008,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,160.1,368,400.5,31,525.5,9.34607843137255,14.0905882352941,4.60156862745098,12.574431372549,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.58799999999999,1.3619973406500216,1.1577192847519142,2.481325093031165,0.5719471501391891,2.447410501500228,1.6638618884916931,1.0792909501394918,2.2007230303438257,0.2165889709841083,1.1354545393516415,1.6802745671915442,16290.5,2418.12431372549,142.6486274509804,27.87239159660885,-8.904603156837297,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-4.744509803921549,0.050000000000000044,4512.993999999995,0.058991436726926735,46.634839310666095,0.078125,0.0813008130081301
4,15,2009,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,152.3,368,211.2,41,385.6,10.0600118110236,15.3490354330709,4.77098818897638,13.5302755905512,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.15063188976379,2.6390488978136823,0.3775703536603466,0.9791277867361132,1.571430515365095,3.88000159970028,2.455402224028044,0.7812122992735687,3.664776870594548,1.6750443800728405,1.125298117713666,2.9446284832463867,15809.6,1839.6930456692924,195.6105157480316,-112.31965180620148,-13.198460493616821,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.289023622047301,0.050000000000000044,3528.483656692918,0.10632780082987552,23.080373305832083,0.078125,0.0813008130081301
4,15,2010,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,157.3,368,443.9,31,612.8,7.64074803149606,12.2062992125984,3.0751968503937,13.2326377952756,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.15391732283465,1.6744416341756787,3.73477166460092,5.083839615474483,2.602238617672531,0.5090221029273405,1.2686944092888282,1.779075506056936,1.5928829454118434,0.4889772138100604,1.4217637448340097,1.632107526805991,18996.8,1884.4806299212592,95.3311023622047,114.72124188628493,-0.006374966495300782,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-4.56555118110234,0.050000000000000044,4996.720535433073,0.050587467362924285,54.44009086980556,0.078125,0.0813008130081301
4,15,2011,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,80.0,405,474.8,31,559.9,7.8494094488189,14.1177165354331,1.58110236220472,13.2872834645669,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.434192913385809,0.4302701548715141,2.1906116631916834,3.481333850801587,1.0464364258192465,1.6140881868148769,1.098077806637062,2.843489754223638,1.1902396978547392,1.5687371181248682,2.120386763736276,2.261613406253161,17356.899999999998,885.2592125984227,49.01417322834632,62.09615803821316,-5.390331500417275,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-6.2683070866142,0.050000000000000044,4162.404612204715,0.05536702982675478,63.86705396695959,0.078125,0.0813008130081301
4,15,2012,21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,94.8,368,646.2,31,784.8,7.65379215686275,13.6136470588235,1.69393333333333,12.224,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.958966666666665,0.3984552972223155,2.642771571763864,3.9689757893431423,1.451797392017954,1.0498904739123376,2.348843596927012,3.949051011269346,0.9468363146782424,2.6623143878270565,3.413614664902023,2.6277995478945755,24328.8,1329.3988799999972,52.51193333333323,285.8287259559527,17.496446594852898,0.9130434782608695,2.022222222222222,1.0769230769230769,1.0,-5.95985490196075,0.050000000000000044,5461.397039999999,0.039500509683995925,92.85861406626465,0.078125,0.0813008130081301
4,16,1993,20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,109.2,368,345.9,31,419.7,7.42263779527559,13.1968503937008,1.64842519685039,13.6120078740158,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.630216535433095,0.8378778486517747,3.0980694297891844,4.4364911183755,1.903937396630144,0.5847575585336935,0.2914800514536551,2.4015902407611684,1.992126716625675,1.325313193009764,1.355489893458368,2.5946317196046285,13010.699999999999,691.8440551181087,51.10118110236209,-77.37561287253908,-19.65321721352612,0.8695652173913043,2.542857142857143,1.1428571428571428,1.0,-5.774212598425209,-0.19999999999999996,3202.40187992127,0.07386228258279724,45.33292055261005,0.0846153846153846,0.07333333333333333
4,16,1994,20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,82.7,405,798.4,31,888.7,7.83681102362205,13.6169291338583,2.05669291338583,13.5656299212598,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.811161417322815,0.2349448448452384,2.496700706849376,3.831611557662328,1.3025653468999177,1.1066431130224017,3.185222351666319,3.677353076028941,0.9617183682114362,2.614324937367793,3.748920037550049,1.6263109466723045,27549.7,1827.7829921259872,63.75748031496073,389.1890388342548,28.06734418021985,0.8695652173913043,2.542857142857143,1.1428571428571428,1.0,-5.780118110236249,-0.19999999999999996,6941.779151574786,0.03488241251265894,102.21271298137407,0.0846153846153846,0.07333333333333333
