a,b,c,d
8.290486408490949e-09,6.7626166888601355e-09,-0.0029879427174226,0.2108904690571718
-8.062077292744175e-09,7.166935556945743e-06,-0.0037503525527942,1.3202377639246428
-5.0746410822074605e-09,7.285482186851717e-06,-0.0033678308340535,1.1833763796367534
-4.1565393418785406e-09,4.669738058792893e-06,-0.0035374344243546,1.2011969441859207
1.102567626676812e-08,-2.733346922269996e-06,-0.0024628165470477,0.3239930149082402
-8.424145820225946e-09,6.159419629112518e-06,-0.003012193936982,0.3526890730485682
1.3762388239833856e-08,-1.2255218988653888e-06,-0.0036730714201663,0.211543215948673
-6.240281361187408e-09,7.986257852332742e-06,-0.0048939202029085,0.221928237785394
-3.52804452319333e-11,5.251484988422206e-06,-0.0048448524196791,0.1818416353729218
-1.175347315608038e-08,1.1334324610292771e-05,-0.0046972807245186,0.3243646866294389
-2.610856864038169e-09,8.540704383275255e-06,-0.0042233064925363,0.2175360943351804
-6.902050217188295e-09,7.351544082978153e-06,-0.0030747862680609,0.6816996191017991
-9.424514936587086e-09,9.250886601515545e-06,-0.0043384821362001,0.1961506532875252
-3.113964641698885e-09,6.761804763111279e-06,-0.0048996972122539,0.1797287970519601
-4.797479746798672e-09,9.223449709994114e-06,-0.0048275909022004,0.334861337130276
-1.1376725715135544e-08,9.276975966491789e-06,-0.0033775188047756,0.2248396668457905
-2.3227312581073e-09,5.403951663917945e-06,-0.0039607462515137,0.1551541580993915
-4.0253585633744854e-09,8.701086423595128e-06,-0.0044771507497582,0.4786250774529879
-4.061362266528373e-09,4.88099319014346e-06,-0.0036501805607332,0.4038013303821304
1.6131147528852807e-09,3.494251216262789e-06,-0.0031355749219998,0.7633937145745542
8.694948193478299e-09,1.6320639437244075e-06,-0.0043256476791443,0.2685421587078765
-1.1148473836411346e-08,9.543009538544352e-06,-0.0051053094465791,2.060644552756431
-9.884791612087996e-09,1.1044622610186106e-05,-0.0045416754027847,1.779917036624767
-6.224320170389319e-09,6.592258899429382e-06,-0.0048557712204029,1.7701938253517926
1.2815306260627324e-08,-2.2957826615321864e-06,-0.0035522488543136,0.5161394366197818
-1.2228228798933449e-08,8.790916292965055e-06,-0.0042291337395577,0.4926331366293146
2.213287664254437e-08,-3.867408522761906e-06,-0.004754256917373,0.2776411039519659
-6.392738074287461e-09,9.552749970251618e-06,-0.0065920867258158,0.2961073084212541
4.114444727153037e-09,4.451997395717052e-06,-0.0063099824507754,0.2372966972695764
-1.8152590982708027e-08,1.6609531548741993e-05,-0.0064919463697734,0.4521092419095643
-8.476110800077171e-09,1.50280477687068e-05,-0.0063318965526985,0.2947399731805681
-2.86064701693832e-09,5.882866836064761e-06,-0.0033929392585948,0.9745553136927616
-1.471798818703836e-08,1.3826165759344775e-05,-0.0061901080853272,0.2743666285676365
1.238466551534145e-09,5.897714996483394e-06,-0.0062882233459453,0.2318273179739873
-9.248691172429182e-09,1.3876934464129553e-05,-0.0065814074331635,0.418722337921967
-1.5026605421486496e-08,1.2607355428477513e-05,-0.0047103697604324,0.3140621500639459
-2.238102148055532e-09,8.507593556972282e-06,-0.0061497294024381,0.2259040425413192
-9.468391915324072e-09,1.393490939515124e-05,-0.0063478226703417,0.6978107552361723
-8.28291063574418e-09,8.247129849723768e-06,-0.0053134876595215,0.657134863184286
3.336163900691247e-09,4.486870471054338e-06,-0.0044012369094901,1.2723807202896262
2.6365148656863293e-08,-1.116928276860639e-06,-0.0081594395284319,0.5569127913357192
-1.7820926068168322e-08,2.058410819671952e-05,-0.0111775134203253,2.9259958182959847
-1.6268528302276763e-08,2.3706773720988394e-05,-0.0102475406823818,2.745525272289822
-1.10625435478795e-08,1.5234838310673736e-05,-0.0101663621898422,2.784146659442765
4.227039721811996e-08,-1.4997258593751178e-05,-0.0053151939533553,0.6223368695581901
-3.073472565340296e-08,2.31037723098515e-05,-0.0086748130608793,0.8342822503777468
4.0521461116986295e-08,-3.637070452319781e-06,-0.0102247471874621,0.589244782652062
2.8023861009529583e-10,1.408072216135814e-05,-0.0129692063163577,0.6126556616491263
2.0626921162889585e-08,4.799387088499034e-06,-0.0124725120870118,0.4972058923763033
-3.822813783397689e-08,3.634849909071669e-05,-0.0138571936212747,0.829253357259784
-1.4929025056877186e-08,2.8103759260954705e-05,-0.011985278589618,0.6070722208960921
-1.4789693518432253e-08,1.769727168697881e-05,-0.0077287551917893,1.577159062809106
-2.2856885577430063e-08,2.546415121133344e-05,-0.0122538259593827,0.5404081679797162
4.985829860082447e-09,1.0796392045486767e-05,-0.0123262809768287,0.4778980256048064
-6.255291840062681e-10,2.0887740884822925e-05,-0.0133407269126102,0.8284229258246896
-4.288623200406062e-08,3.371010479129968e-05,-0.0101813063638394,0.5703253865803927
-7.71761232698509e-09,1.7426061156622374e-05,-0.0115684994480593,0.4486637216648562
-1.1649922898019462e-08,2.7279636901587945e-05,-0.0130932591568272,0.9894922901706188
-1.5803256259161458e-08,1.8139047587406587e-05,-0.0104364068156459,0.7965074877983326
1.5301184285327404e-08,4.617833643593509e-06,-0.0079008794610302,1.5121317022384302
8.015444086240109e-09,1.602425615532255e-07,-0.0030171047653693,0.210408471350511
-7.942284206759868e-09,7.063290264898585e-06,-0.0037314577936318,1.3156516286327269
-5.173720786880055e-09,7.351706645834324e-06,-0.0033890315169701,1.180216842401815
-4.064146574833671e-09,4.608199265176971e-06,-0.0035313115075101,1.1976754312507571
1.1014821022491458e-08,-2.725901428774444e-06,-0.0024694997897097,0.3229027418274138
-8.31386858118386e-09,6.08736996186815e-06,-0.0030040602728452,0.3509239215697264
1.3706142056950713e-08,-1.1699304471184913e-06,-0.0036935631563407,0.2125693405667693
-6.14264329959801e-09,7.91579915607934e-06,-0.0048890694026964,0.222080366463763
-8.709211130053518e-11,5.2725167696277e-06,-0.0048504725167168,0.1820720976579893
-1.1543756614236348e-08,1.1229864102482635e-05,-0.0046903829782359,0.3234699701287325
-2.896244133410164e-09,8.692473158378178e-06,-0.0042478706510376,0.2173979196281836
-6.759234214619015e-09,7.289743331876981e-06,-0.0030711285857908,0.6785052142803506
-9.432630226725629e-09,9.285754392522064e-06,-0.0043582925195867,0.1971236805840816
-2.719487968150247e-09,6.521047327123775e-06,-0.0048642822611777,0.1787602413873033
-4.931862088755559e-09,9.29924902565683e-06,-0.0048431926316244,0.3341270403311484
-1.1277284281742648e-08,9.201969404727365e-06,-0.0033683979493051,0.2238039689873336
-2.5894946572188595e-09,5.573899947236306e-06,-0.0039940944322462,0.155840573946152
-4.119462829491392e-09,8.785661747090342e-06,-0.0045002323155997,0.4783370194454806
