a,b,c
4.467601253721476e-06,-0.0035887550393336,0.2279603285866006
2.3291270495606757e-06,-0.0030243562713658,1.2979284858519358
4.554984224448854e-06,-0.0030000710806704,1.172927845561469
1.962497503427111e-06,-0.0031010378054449,1.187142618177589
3.199207944337701e-06,-0.003261848427315,0.3466945524168082
1.626662961773384e-06,-0.0024016952209371,0.3353440082362835
6.179567940689523e-06,-0.0046704330932203,0.2398795612436066
4.24165395462861e-06,-0.0043319780613531,0.2046602108635061
5.230314390398958e-06,-0.0048416754489548,0.181744012164935
5.010166116647952e-06,-0.0038455053346888,0.3001646373148828
7.1358877431828505e-06,-0.0040340973731961,0.2121604142193535
3.637777188122998e-06,-0.0025745939905673,0.6674885044465416
4.179864139877696e-06,-0.0036554865781704,0.1767458590156567
5.086282471698402e-06,-0.0046740278612479,0.1733172349868651
6.642083071439764e-06,-0.0044799170201228,0.324983467287712
3.155532917187287e-06,-0.0025530463408067,0.2014153293007654
4.154166114636995e-06,-0.0037924176732776,0.1503717235798146
6.535172968267123e-06,-0.0041854326037669,0.4703369845409546
2.443892652581603e-06,-0.0032844517558667,0.3925627802883445
4.3622152203770526e-06,-0.0032524774676367,0.7667150666593349
6.310530492833715e-06,-0.0049557714718228,0.286444797518225
2.853147932913025e-06,-0.0041013807864236,2.0297946379313845
5.725940335432611e-06,-0.0038253235384277,1.7595645459293037
2.538229677440107e-06,-0.0042022775289634,1.749147803336028
4.599713178121689e-06,-0.0044809753327865,0.5425257643424228
2.2113073973040187e-06,-0.0033429527766957,0.4674555805433048
8.04156650957566e-06,-0.0063582286827432,0.323212030790203
5.716661347194767e-06,-0.0060164157115912,0.278417403649376
6.9209511086914825e-06,-0.0066804913711793,0.2486821364105033
6.8422175728555246e-06,-0.0051764262575899,0.4147336003135644
1.0467330505914418e-05,-0.0057176319504426,0.2772879150875075
4.343646464066708e-06,-0.0031856278739879,0.9686653268982112
5.906898869589838e-06,-0.0051234939652518,0.2440627302637484
6.564093087276972e-06,-0.0063779750914738,0.2343772796901035
8.90051692861012e-06,-0.0059111538131987,0.3996795580602057
4.52203176346978e-06,-0.0036213901337968,0.28312281898314
7.303343918074745e-06,-0.0059875338370951,0.2212958522134221
8.840278160615611e-06,-0.0056616473399373,0.6783156193054025
3.2768059747834144e-06,-0.0045676051801553,0.6342144987051941
6.281950928378148e-06,-0.0046430090511537,1.2792497809993313
1.3069293634315748e-05,-0.0100701245083179,0.611197842309362
9.890310155684218e-06,-0.0095727253501255,2.8766819830792856
1.4953211870394334e-05,-0.009068558723466,2.712028855135894
8.029573444923166e-06,-0.0090049015560578,2.7467413568476684
7.747056027795907e-06,-0.0083785339115742,0.7093703513089303
6.566424090738004e-06,-0.006447464315804,0.7710003662915289
1.8166198983426973e-05,-0.0131613415613147,0.6726772569343997
1.4248884819489938e-05,-0.0129944420101493,0.6134311342601442
1.7176978000735267e-05,-0.014329982249581,0.5542844464303971
1.5779191680720395e-05,-0.01108679660511,0.7505427662424107
2.00709404319932e-05,-0.0109033706373264,0.5763338056172679
9.739422565879783e-06,-0.0066569446007969,1.546707526501509
1.3165610410516594e-05,-0.0105973850783362,0.4933465213702253
1.3479103199972852e-05,-0.0126876044290998,0.4881636909997884
2.0551164052085014e-05,-0.0132953947177949,0.8271349775459473
1.0634429624789554e-05,-0.0070733367813502,0.4820239187337326
1.3273466711915108e-05,-0.0110092031873489,0.4327733823398349
2.1011195386102347e-05,-0.0122489880576323,0.9655054474196516
8.655992225217819e-06,-0.0090133114853195,0.752776922640408
1.2850899185123945e-05,-0.0090097578442365,1.5436363829552495
4.473090006396063e-06,-0.0035979847589646,0.2269120276552857
2.297365938683541e-06,-0.0030162489639401,1.2936738401290198
4.567897136209531e-06,-0.0030140914451495,1.1695643060984358
1.961135965371172e-06,-0.0031046152062231,1.1839335063291798
3.200812569437161e-06,-0.0032677449828368,0.3455819283913222
1.613949884404775e-06,-0.0024015533689667,0.3338059148110662
6.204895081107932e-06,-0.0046868486326595,0.2407898752583402
4.229784893894362e-06,-0.0043359196401611,0.205082522171612
5.220255545723696e-06,-0.004842629821455,0.1818310980233431
5.018547182071719e-06,-0.0038538057602929,0.2997017205902403
7.134098907846109e-06,-0.0040379794607339,0.2114346338416207
3.652821052635424e-06,-0.0025812862008849,0.6645881535782507
4.210365377343983e-06,-0.0036747088533499,0.1777021774978179
5.057779870104071e-06,-0.0046672006446941,0.1731608939116895
6.645575727604047e-06,-0.0044857800754378,0.3239724834007141
3.13403252564552e-06,-0.0025511320141638,0.2005843782777056
4.180577768765331e-06,-0.0038064334865319,0.1505088817202897
6.569113897181289e-06,-0.0042016944332625,0.4698551691216729
2.462944316206057e-06,-0.0032921868311253,0.3912788864110171
